"airline","date_of_journey","source","destination","route","dep_time","arrival_time","total_stops","additional_info","price","journey_day","journey_month","duration_total_mins"
"Alliance Air","2025-12-21","Pune","Patna","PUN-GUW-AHM-PAT","18:21","14:50",2,"red-eye flight",12708,21,12,585
"AirAsia India","2025-09-10","Pune","Hyderabad","PUN-HYD","22:29","15:34",0,"limited seats",7691,10,9,345
"Alliance Air","2022-08-10","Indore","Jaipur","IND-GOA-CHE-NAG-JAI","18:56","22:07",3,"1 long layover",12085,10,8,405
"Akasa Air","2019-02-09","Mumbai","Guwahati","MUM-COC-HYD-GUW","20:55","05:23",2,"none",7913,9,2,855
"Akasa Air","2022-03-17","Jaipur","Varanasi","JAI-COC-VAR","13:49","04:55",1,"in-flight meal not included",10228,17,3,540
"Star Air","2023-05-08","Raipur","Bangalore","RAI-AHM-BAN","04:15","23:47",1,"limited seats",5568,8,5,150
"SpiceJet","2019-06-20","Delhi","Nagpur","DEL-NAG","17:40","20:04",0,"red-eye flight",7427,20,6,315
"Alliance Air","2023-09-09","Delhi","Mumbai","DEL-SUR-AHM-JAI-MUM","19:23","00:33",3,"in-flight meal not included",15527,9,9,615
"Air India","2023-04-20","Pune","Bhubaneswar","PUN-JAI-BHU","14:11","16:32",1,"new aircraft",10975,20,4,450
"Star Air","2020-05-14","Chennai","Cochin","CHE-COC","16:50","05:29",0,"business class available",11739,14,5,165
"Akasa Air","2023-10-14","Mumbai","Nagpur","MUM-DEL-COC-PUN-NAG","10:19","00:49",3,"wifi available",16319,14,10,150
"IndiGo","2023-08-05","Goa","Nagpur","GOA-LUC-COC-NAG","12:20","10:28",2,"none",4678,5,8,180
"IndiGo","2021-02-12","Lucknow","Cochin","LUC-NAG-KOL-COC","16:58","06:29",2,"in-flight meal not included",14890,12,2,225
"Air India","2024-06-01","Varanasi","Nagpur","VAR-NAG","07:04","13:08",0,"new aircraft",11614,1,6,195
"Akasa Air","2020-02-15","Delhi","Guwahati","DEL-GUW","22:26","19:28",0,"new aircraft",4606,15,2,435
"IndiGo","2022-04-23","Delhi","Ahmedabad","DEL-IND-AHM","15:41","17:31",1,"limited seats",4361,23,4,360
"Air India","2024-02-16","Hyderabad","Goa","HYD-COC-CHE-GOA","19:09","01:57",2,"wifi available",13653,16,2,615
"Alliance Air","2023-07-02","Pune","Kolkata","PUN-CHE-PAT-KOL","20:55","09:08",2,"red-eye flight",12699,2,7,540
"Alliance Air","2019-06-07","Delhi","Kolkata","DEL-VAR-RAI-KOL","02:09","03:47",2,"none",5052,7,6,270
"IndiGo","2024-06-11","Lucknow","Nagpur","LUC-MUM-SUR-NAG","18:58","07:38",2,"wifi available",4315,11,6,705
"SpiceJet","2020-01-24","Ahmedabad","Mumbai","AHM-VAR-BAN-MUM","08:10","06:59",2,"new aircraft",5913,24,1,150
"GoAir","2021-02-10","Jaipur","Kolkata","JAI-LUC-KOL","00:13","08:59",1,"limited seats",8848,10,2,720
"SpiceJet","2024-11-15","Bangalore","Varanasi","BAN-VAR","12:04","11:01",0,"limited seats",3977,15,11,105
"GoAir","2021-01-26","Jaipur","Bangalore","JAI-MUM-NAG-BAN","20:35","12:29",2,"business class available",11184,26,1,540
"Star Air","2025-03-21","Lucknow","Indore","LUC-IND","02:18","11:49",0,"business class available",9662,21,3,840
"Akasa Air","2024-07-15","Raipur","Ahmedabad","RAI-PAT-BHU-AHM","02:56","01:37",2,"extra baggage allowed",9046,15,7,930
"Alliance Air","2025-07-04","Nagpur","Pune","NAG-PUN","12:39","20:20",0,"in-flight meal not included",9051,4,7,870
"IndiGo","2024-11-14","Mumbai","Chennai","MUM-BAN-CHE","11:05","21:51",1,"in-flight meal not included",10148,14,11,705
"GoAir","2021-02-15","Bangalore","Jaipur","BAN-IND-BHU-JAI","03:58","08:21",2,"in-flight meal not included",14007,15,2,540
"Air India","2021-01-26","Hyderabad","Ahmedabad","HYD-IND-PUN-AHM","19:54","18:52",2,"none",11416,26,1,630
"Star Air","2022-07-22","Jaipur","Pune","JAI-DEL-PUN","01:54","16:32",1,"business class available",7375,22,7,540
"GoAir","2023-03-04","Jaipur","Bangalore","JAI-VAR-BAN","18:55","11:53",1,"1 long layover",11698,4,3,180
"IndiGo","2020-04-28","Jaipur","Patna","JAI-NAG-GOA-SUR-PAT","18:40","10:16",3,"1 long layover",13989,28,4,270
"Air India","2020-11-23","Bhubaneswar","Jaipur","BHU-PUN-VAR-BAN-JAI","18:34","06:43",3,"none",8513,23,11,450
"AirAsia India","2021-08-24","Pune","Goa","PUN-LUC-HYD-GOA","19:29","02:01",2,"1 long layover",12142,24,8,390
"Vistara","2025-09-10","Chennai","Indore","CHE-AHM-BAN-IND","23:30","05:12",2,"limited seats",10733,10,9,555
"GoAir","2020-04-06","Lucknow","Surat","LUC-PUN-CHE-KOL-SUR","10:15","19:14",3,"wifi available",10237,6,4,225
"TruJet","2025-05-19","Indore","Guwahati","IND-GOA-AHM-GUW","12:30","08:17",2,"none",11295,19,5,840
"Air India","2025-09-13","Raipur","Pune","RAI-BAN-PUN","23:24","09:51",1,"business class available",10406,13,9,570
"AirAsia India","2023-01-07","Goa","Bhubaneswar","GOA-BHU","20:28","05:53",0,"wifi available",4938,7,1,885
"TruJet","2020-05-21","Kolkata","Delhi","KOL-GUW-RAI-DEL","00:37","20:47",2,"red-eye flight",6945,21,5,840
"Vistara","2023-05-13","Hyderabad","Guwahati","HYD-COC-DEL-KOL-GUW","21:04","03:10",3,"limited seats",17431,13,5,540
"Vistara","2019-08-07","Bangalore","Lucknow","BAN-HYD-CHE-LUC","21:37","04:41",2,"wifi available",13227,7,8,120
"IndiGo","2019-11-11","Kolkata","Goa","KOL-NAG-GOA","21:28","08:52",1,"wifi available",7112,11,11,90
"SpiceJet","2024-08-02","Delhi","Jaipur","DEL-JAI","18:11","23:06",0,"wifi available",11036,2,8,810
"GoAir","2023-01-06","Ahmedabad","Delhi","AHM-DEL","02:03","09:45",0,"red-eye flight",11991,6,1,600
"Air India","2023-12-26","Chennai","Jaipur","CHE-BHU-JAI","14:25","15:05",1,"new aircraft",6040,26,12,465
"GoAir","2020-03-12","Hyderabad","Goa","HYD-JAI-PAT-NAG-GOA","01:43","00:50",3,"business class available",14883,12,3,570
"Vistara","2020-07-04","Pune","Goa","PUN-IND-GOA","22:39","21:19",1,"1 long layover",10224,4,7,720
"Akasa Air","2020-09-06","Hyderabad","Chennai","HYD-CHE","20:19","10:20",0,"1 long layover",11291,6,9,435
"Akasa Air","2019-09-06","Mumbai","Bhubaneswar","MUM-BHU","15:37","23:27",0,"limited seats",11683,6,9,135
"Alliance Air","2023-09-25","Surat","Ahmedabad","SUR-NAG-AHM","11:57","11:29",1,"new aircraft",10615,25,9,630
"Air India","2023-06-28","Bhubaneswar","Ahmedabad","BHU-AHM","19:08","07:55",0,"new aircraft",11207,28,6,90
"Akasa Air","2020-09-03","Mumbai","Varanasi","MUM-VAR","04:28","16:35",0,"red-eye flight",10842,3,9,195
"GoAir","2021-07-11","Chennai","Indore","CHE-VAR-BAN-NAG-IND","06:26","13:29",3,"red-eye flight",15152,11,7,510
"IndiGo","2020-06-12","Guwahati","Pune","GUW-PUN","16:07","15:29",0,"in-flight meal not included",10263,12,6,855
"TruJet","2024-04-18","Bhubaneswar","Lucknow","BHU-RAI-LUC","18:25","07:46",1,"1 long layover",11949,18,4,585
"Air India","2025-10-16","Mumbai","Pune","MUM-GOA-DEL-PUN","05:53","23:29",2,"wifi available",13980,16,10,735
"GoAir","2025-12-17","Nagpur","Delhi","NAG-GOA-DEL","02:52","09:05",1,"business class available",5923,17,12,510
"AirAsia India","2024-10-11","Chennai","Raipur","CHE-IND-RAI","13:04","21:20",1,"red-eye flight",12593,11,10,540
"SpiceJet","2020-08-15","Lucknow","Indore","LUC-KOL-HYD-IND","23:01","17:52",2,"red-eye flight",12157,15,8,945
"IndiGo","2025-11-26","Raipur","Surat","RAI-KOL-GOA-SUR","02:42","22:54",2,"new aircraft",8042,26,11,930
"Akasa Air","2025-05-25","Bhubaneswar","Patna","BHU-DEL-NAG-PAT","05:25","13:14",2,"limited seats",7011,25,5,240
"Vistara","2022-07-09","Jaipur","Kolkata","JAI-BHU-KOL","07:36","11:56",1,"new aircraft",4984,9,7,735
"GoAir","2023-01-10","Mumbai","Ahmedabad","MUM-AHM","11:23","17:29",0,"extra baggage allowed",6161,10,1,525
"Vistara","2022-06-11","Goa","Bhubaneswar","GOA-BHU","17:04","03:33",0,"limited seats",9539,11,6,135
"Akasa Air","2022-01-20","Patna","Hyderabad","PAT-HYD","13:32","05:24",0,"red-eye flight",7434,20,1,600
"AirAsia India","2024-09-05","Chennai","Lucknow","CHE-KOL-HYD-LUC","20:41","11:52",2,"new aircraft",13052,5,9,240
"Alliance Air","2025-03-01","Surat","Nagpur","SUR-RAI-NAG","18:51","06:35",1,"none",4132,1,3,690
"IndiGo","2025-06-04","Hyderabad","Mumbai","HYD-DEL-MUM","04:18","15:46",1,"limited seats",8359,4,6,390
"Vistara","2020-09-13","Nagpur","Hyderabad","NAG-HYD","02:38","20:04",0,"new aircraft",10463,13,9,510
"Star Air","2021-08-10","Bhubaneswar","Patna","BHU-CHE-RAI-PAT","01:59","00:51",2,"business class available",13408,10,8,915
"SpiceJet","2021-09-23","Delhi","Varanasi","DEL-IND-RAI-GUW-VAR","10:16","10:52",3,"extra baggage allowed",14541,23,9,705
"Akasa Air","2024-03-17","Nagpur","Patna","NAG-PAT","17:19","11:15",0,"1 long layover",9311,17,3,135
"IndiGo","2024-11-12","Patna","Jaipur","PAT-COC-GUW-GOA-JAI","05:00","21:05",3,"in-flight meal not included",8527,12,11,735
"IndiGo","2023-07-01","Goa","Indore","GOA-PAT-VAR-IND","14:33","01:38",2,"extra baggage allowed",11242,1,7,210
"SpiceJet","2021-03-22","Raipur","Kolkata","RAI-NAG-BAN-COC-KOL","14:19","06:03",3,"business class available",15218,22,3,630
"AirAsia India","2019-01-17","Surat","Bangalore","SUR-RAI-GOA-BAN","02:37","18:58",2,"red-eye flight",15153,17,1,705
"AirAsia India","2024-08-08","Raipur","Bhubaneswar","RAI-HYD-GUW-BHU","04:56","00:19",2,"none",10708,8,8,915
"Akasa Air","2022-03-21","Lucknow","Surat","LUC-COC-SUR","11:32","03:59",1,"red-eye flight",8264,21,3,465
"SpiceJet","2019-09-21","Chennai","Ahmedabad","CHE-GUW-BAN-VAR-AHM","05:53","19:52",3,"in-flight meal not included",7604,21,9,300
"GoAir","2023-12-23","Mumbai","Jaipur","MUM-PAT-JAI","02:32","23:46",1,"none",10809,23,12,585
"Star Air","2021-06-18","Kolkata","Ahmedabad","KOL-MUM-DEL-AHM","19:43","03:55",2,"extra baggage allowed",12827,18,6,930
"IndiGo","2020-03-15","Hyderabad","Chennai","HYD-GOA-IND-CHE","01:39","10:51",2,"red-eye flight",9286,15,3,630
"IndiGo","2024-06-01","Goa","Varanasi","GOA-AHM-PUN-HYD-VAR","20:32","10:58",3,"extra baggage allowed",7605,1,6,180
"GoAir","2020-03-03","Nagpur","Surat","NAG-COC-SUR","21:48","15:42",1,"1 long layover",5548,3,3,450
"GoAir","2020-07-03","Hyderabad","Delhi","HYD-LUC-DEL","07:53","05:44",1,"business class available",4668,3,7,750
"TruJet","2019-09-20","Jaipur","Hyderabad","JAI-LUC-PAT-HYD","14:51","10:23",2,"extra baggage allowed",11012,20,9,180
"AirAsia India","2024-02-14","Ahmedabad","Guwahati","AHM-LUC-KOL-GUW","11:22","03:21",2,"extra baggage allowed",13683,14,2,195
"AirAsia India","2020-07-17","Jaipur","Patna","JAI-MUM-PAT","07:29","05:54",1,"limited seats",10939,17,7,615
"Akasa Air","2024-05-16","Hyderabad","Cochin","HYD-PUN-BAN-COC","05:04","00:02",2,"extra baggage allowed",9642,16,5,150
"Star Air","2019-07-19","Raipur","Cochin","RAI-PAT-COC","04:55","21:11",1,"limited seats",4039,19,7,675
"Star Air","2021-01-01","Nagpur","Jaipur","NAG-PAT-PUN-HYD-JAI","05:01","16:49",3,"new aircraft",9022,1,1,75
"Air India","2023-10-08","Indore","Patna","IND-BHU-PAT","14:22","13:50",1,"red-eye flight",5326,8,10,90
"IndiGo","2020-06-03","Kolkata","Goa","KOL-AHM-PAT-SUR-GOA","20:46","00:59",3,"new aircraft",14645,3,6,645
"Vistara","2023-05-18","Nagpur","Hyderabad","NAG-SUR-PUN-GUW-HYD","22:35","07:25",3,"business class available",10044,18,5,390
"Star Air","2021-01-10","Delhi","Nagpur","DEL-VAR-NAG","06:48","19:55",1,"limited seats",4701,10,1,660
"Vistara","2019-01-03","Chennai","Patna","CHE-AHM-PAT","20:23","15:45",1,"extra baggage allowed",8503,3,1,570
"Akasa Air","2021-09-06","Bhubaneswar","Delhi","BHU-AHM-DEL","23:22","07:14",1,"in-flight meal not included",6253,6,9,795
"Vistara","2025-02-16","Nagpur","Lucknow","NAG-PAT-LUC","16:33","21:04",1,"new aircraft",10394,16,2,330
"TruJet","2025-01-24","Lucknow","Jaipur","LUC-HYD-VAR-RAI-JAI","15:13","19:59",3,"1 long layover",7096,24,1,450
"Air India","2024-04-10","Cochin","Mumbai","COC-BHU-HYD-MUM","18:50","23:25",2,"wifi available",14162,10,4,390
"GoAir","2021-02-19","Goa","Guwahati","GOA-GUW","17:46","15:50",0,"wifi available",9638,19,2,60
"Air India","2023-12-18","Guwahati","Raipur","GUW-SUR-BHU-HYD-RAI","13:53","06:08",3,"in-flight meal not included",8382,18,12,390
"Alliance Air","2023-12-23","Ahmedabad","Pune","AHM-PUN","08:38","05:34",0,"limited seats",10137,23,12,825
"AirAsia India","2019-07-05","Goa","Raipur","GOA-JAI-RAI","21:09","12:34",1,"limited seats",13474,5,7,225
"Alliance Air","2020-05-02","Hyderabad","Varanasi","HYD-JAI-VAR","13:58","16:35",1,"new aircraft",8331,2,5,750
"IndiGo","2025-01-26","Surat","Guwahati","SUR-RAI-PAT-CHE-GUW","05:52","07:08",3,"extra baggage allowed",8482,26,1,675
"IndiGo","2024-04-13","Pune","Surat","PUN-CHE-KOL-DEL-SUR","02:19","07:56",3,"none",10901,13,4,645
"GoAir","2025-08-08","Lucknow","Nagpur","LUC-PAT-NAG","01:52","03:26",1,"limited seats",5809,8,8,540
"Star Air","2020-03-16","Hyderabad","Surat","HYD-COC-MUM-NAG-SUR","08:46","13:27",3,"business class available",10970,16,3,945
"Akasa Air","2025-03-20","Chennai","Pune","CHE-MUM-COC-PUN","06:13","21:16",2,"red-eye flight",7328,20,3,660
"SpiceJet","2023-09-04","Raipur","Hyderabad","RAI-GUW-PUN-HYD","11:59","16:53",2,"new aircraft",10696,4,9,750
"IndiGo","2023-02-15","Pune","Bangalore","PUN-BAN","19:15","15:02",0,"wifi available",3638,15,2,105
"TruJet","2020-11-21","Hyderabad","Mumbai","HYD-RAI-BHU-MUM","04:13","09:53",2,"new aircraft",9086,21,11,225
"Air India","2022-06-23","Goa","Guwahati","GOA-RAI-PAT-SUR-GUW","06:03","18:03",3,"limited seats",17007,23,6,555
"Star Air","2023-01-05","Guwahati","Goa","GUW-VAR-GOA","03:56","10:47",1,"1 long layover",4045,5,1,555
"Air India","2023-08-10","Bangalore","Raipur","BAN-AHM-RAI","00:08","04:28",1,"red-eye flight",7382,10,8,855
"AirAsia India","2020-01-18","Pune","Mumbai","PUN-MUM","05:28","03:02",0,"business class available",4168,18,1,720
"SpiceJet","2023-07-23","Indore","Guwahati","IND-BHU-GUW","15:25","02:54",1,"none",12946,23,7,210
"SpiceJet","2024-12-22","Mumbai","Ahmedabad","MUM-AHM","23:33","15:52",0,"in-flight meal not included",9385,22,12,915
"Alliance Air","2022-03-14","Nagpur","Jaipur","NAG-KOL-GOA-BHU-JAI","12:26","14:34",3,"extra baggage allowed",13802,14,3,765
"IndiGo","2019-07-05","Goa","Ahmedabad","GOA-PAT-DEL-LUC-AHM","01:59","21:54",3,"none",11215,5,7,240
"Alliance Air","2020-02-25","Varanasi","Mumbai","VAR-CHE-HYD-LUC-MUM","00:55","17:08",3,"none",10603,25,2,90
"Alliance Air","2019-06-09","Delhi","Mumbai","DEL-MUM","21:01","21:44",0,"1 long layover",5739,9,6,915
"TruJet","2020-02-16","Kolkata","Mumbai","KOL-HYD-COC-MUM","07:09","16:42",2,"none",12068,16,2,90
"Alliance Air","2022-08-20","Pune","Lucknow","PUN-COC-BHU-LUC","10:14","20:23",2,"1 long layover",6875,20,8,120
"Vistara","2024-06-19","Goa","Delhi","GOA-CHE-PAT-DEL","13:18","06:08",2,"wifi available",13593,19,6,750
"Air India","2020-12-06","Pune","Mumbai","PUN-GOA-DEL-JAI-MUM","04:54","03:13",3,"1 long layover",7714,6,12,345
"IndiGo","2023-10-12","Kolkata","Hyderabad","KOL-HYD","21:09","01:08",0,"new aircraft",2573,12,10,195
"AirAsia India","2025-02-18","Indore","Surat","IND-SUR","23:25","23:33",0,"wifi available",3728,18,2,780
"IndiGo","2021-09-07","Ahmedabad","Surat","AHM-COC-GUW-MUM-SUR","06:12","17:09",3,"new aircraft",14520,7,9,420
"Air India","2021-09-13","Goa","Jaipur","GOA-IND-SUR-JAI","12:36","04:14",2,"wifi available",13885,13,9,720
"Vistara","2024-06-02","Varanasi","Kolkata","VAR-KOL","14:30","20:48",0,"new aircraft",5146,2,6,765
"Alliance Air","2023-11-24","Varanasi","Guwahati","VAR-DEL-KOL-SUR-GUW","06:34","13:44",3,"wifi available",13963,24,11,645
"IndiGo","2023-09-16","Patna","Jaipur","PAT-JAI","09:12","09:15",0,"new aircraft",5194,16,9,705
"GoAir","2021-04-04","Pune","Mumbai","PUN-NAG-IND-MUM","16:03","03:15",2,"wifi available",6449,4,4,570
"TruJet","2019-04-03","Delhi","Kolkata","DEL-COC-BHU-AHM-KOL","12:02","11:11",3,"new aircraft",12390,3,4,75
"TruJet","2024-11-06","Jaipur","Raipur","JAI-RAI","01:54","20:48",0,"red-eye flight",9943,6,11,855
"IndiGo","2023-02-04","Jaipur","Patna","JAI-PAT","08:41","09:27",0,"1 long layover",6507,4,2,390
"Alliance Air","2025-06-11","Goa","Pune","GOA-IND-PUN","01:15","22:47",1,"limited seats",9446,11,6,390
"AirAsia India","2023-03-27","Delhi","Cochin","DEL-COC","15:52","22:59",0,"wifi available",5671,27,3,150
"Air India","2023-06-24","Raipur","Lucknow","RAI-KOL-MUM-IND-LUC","23:00","23:30",3,"in-flight meal not included",14495,24,6,225
"Vistara","2024-12-15","Goa","Lucknow","GOA-LUC","21:01","13:07",0,"none",11053,15,12,510
"AirAsia India","2025-01-17","Cochin","Nagpur","COC-NAG","05:29","20:19",0,"in-flight meal not included",3688,17,1,555
"IndiGo","2019-08-20","Delhi","Lucknow","DEL-MUM-LUC","23:01","08:26",1,"extra baggage allowed",11629,20,8,660
"SpiceJet","2023-05-04","Mumbai","Ahmedabad","MUM-AHM","17:26","12:22",0,"extra baggage allowed",6079,4,5,705
"Air India","2022-06-20","Lucknow","Ahmedabad","LUC-AHM","08:53","01:15",0,"limited seats",10513,20,6,675
"GoAir","2023-12-25","Cochin","Varanasi","COC-SUR-PUN-VAR","21:04","19:42",2,"red-eye flight",12088,25,12,765
"GoAir","2023-07-16","Hyderabad","Patna","HYD-JAI-CHE-DEL-PAT","08:31","09:02",3,"business class available",7608,16,7,750
"SpiceJet","2022-03-16","Bangalore","Hyderabad","BAN-KOL-HYD","23:22","13:46",1,"extra baggage allowed",8881,16,3,120
"TruJet","2024-03-16","Surat","Bhubaneswar","SUR-BHU","21:59","14:48",0,"business class available",11000,16,3,525
"GoAir","2019-06-23","Lucknow","Surat","LUC-SUR","17:05","03:57",0,"extra baggage allowed",9305,23,6,750
"Akasa Air","2022-11-26","Indore","Patna","IND-COC-PAT","03:15","12:17",1,"red-eye flight",8149,26,11,735
"Star Air","2020-10-06","Jaipur","Guwahati","JAI-KOL-SUR-HYD-GUW","06:16","22:43",3,"new aircraft",9802,6,10,495
"AirAsia India","2024-06-11","Kolkata","Nagpur","KOL-BHU-AHM-COC-NAG","06:34","13:29",3,"red-eye flight",9459,11,6,675
"AirAsia India","2020-02-22","Bangalore","Ahmedabad","BAN-DEL-MUM-HYD-AHM","08:49","16:25",3,"business class available",15122,22,2,240
"AirAsia India","2020-10-10","Bhubaneswar","Patna","BHU-KOL-PAT","10:54","09:25",1,"wifi available",3182,10,10,555
"Akasa Air","2022-06-08","Patna","Jaipur","PAT-JAI","19:18","23:21",0,"none",11156,8,6,750
"Air India","2022-04-13","Mumbai","Patna","MUM-HYD-PAT","19:00","07:29",1,"none",4961,13,4,510
"Star Air","2025-08-02","Patna","Ahmedabad","PAT-GUW-AHM","19:21","22:52",1,"wifi available",6235,2,8,720
"Akasa Air","2025-07-12","Lucknow","Patna","LUC-RAI-PAT","05:47","03:30",1,"extra baggage allowed",11341,12,7,705
"AirAsia India","2023-05-15","Surat","Patna","SUR-BAN-NAG-KOL-PAT","07:16","16:53",3,"business class available",9491,15,5,360
"SpiceJet","2020-08-22","Raipur","Bhubaneswar","RAI-BHU","00:47","04:13",0,"1 long layover",4809,22,8,840
"Akasa Air","2023-06-14","Ahmedabad","Hyderabad","AHM-PAT-PUN-JAI-HYD","13:06","10:29",3,"in-flight meal not included",15899,14,6,180
"Star Air","2024-09-14","Delhi","Goa","DEL-KOL-RAI-CHE-GOA","18:47","11:11",3,"extra baggage allowed",15133,14,9,690
"GoAir","2023-06-25","Ahmedabad","Delhi","AHM-DEL","10:00","08:21",0,"business class available",7916,25,6,720
"TruJet","2020-08-07","Ahmedabad","Indore","AHM-NAG-JAI-IND","05:56","01:31",2,"none",9267,7,8,270
"Star Air","2020-10-08","Pune","Mumbai","PUN-JAI-MUM","15:39","21:17",1,"new aircraft",4506,8,10,945
"GoAir","2022-11-09","Nagpur","Lucknow","NAG-AHM-PUN-KOL-LUC","14:56","05:59",3,"red-eye flight",13869,9,11,585
"AirAsia India","2021-08-05","Cochin","Bangalore","COC-SUR-BAN","18:13","02:26",1,"none",8208,5,8,165
"Air India","2024-09-15","Varanasi","Chennai","VAR-KOL-RAI-CHE","22:57","21:21",2,"wifi available",5056,15,9,810
"Vistara","2020-12-16","Raipur","Bhubaneswar","RAI-GOA-BHU","20:52","20:53",1,"none",9967,16,12,615
"Star Air","2020-07-25","Ahmedabad","Patna","AHM-MUM-PAT","15:57","05:31",1,"in-flight meal not included",9735,25,7,660
"SpiceJet","2020-05-13","Raipur","Varanasi","RAI-JAI-PUN-NAG-VAR","06:49","11:22",3,"wifi available",10062,13,5,450
"AirAsia India","2022-10-28","Delhi","Goa","DEL-LUC-GOA","03:39","10:55",1,"limited seats",6886,28,10,315
"TruJet","2023-04-21","Lucknow","Ahmedabad","LUC-AHM","02:44","00:13",0,"limited seats",10712,21,4,90
"TruJet","2022-08-28","Surat","Delhi","SUR-BAN-RAI-DEL","02:05","07:47",2,"in-flight meal not included",5308,28,8,825
"IndiGo","2020-07-01","Lucknow","Delhi","LUC-DEL","08:00","22:13",0,"in-flight meal not included",2882,1,7,660
"IndiGo","2020-05-27","Varanasi","Indore","VAR-IND","19:56","23:58",0,"extra baggage allowed",4707,27,5,285
"Air India","2024-06-16","Indore","Jaipur","IND-NAG-JAI","19:44","04:53",1,"limited seats",9124,16,6,630
"Vistara","2021-12-05","Delhi","Pune","DEL-SUR-PUN","04:22","08:10",1,"new aircraft",9462,5,12,885
"SpiceJet","2025-03-28","Indore","Surat","IND-DEL-NAG-VAR-SUR","23:55","15:31",3,"1 long layover",6549,28,3,645
"Alliance Air","2020-12-23","Cochin","Surat","COC-HYD-AHM-SUR","06:38","08:02",2,"1 long layover",14855,23,12,630
"Akasa Air","2021-02-19","Pune","Ahmedabad","PUN-AHM","05:29","11:05",0,"none",8379,19,2,405
"Alliance Air","2020-04-05","Nagpur","Bhubaneswar","NAG-VAR-DEL-BHU","04:10","17:31",2,"in-flight meal not included",9613,5,4,750
"Alliance Air","2024-04-19","Patna","Surat","PAT-DEL-LUC-KOL-SUR","12:59","11:53",3,"extra baggage allowed",11626,19,4,480
"Alliance Air","2022-04-02","Bhubaneswar","Varanasi","BHU-LUC-SUR-VAR","17:56","21:22",2,"business class available",13443,2,4,840
"Vistara","2020-09-06","Lucknow","Patna","LUC-MUM-CHE-NAG-PAT","17:28","16:52",3,"wifi available",8789,6,9,915
"Alliance Air","2025-02-04","Ahmedabad","Guwahati","AHM-VAR-JAI-LUC-GUW","12:28","08:04",3,"extra baggage allowed",16222,4,2,705
"Alliance Air","2022-08-21","Delhi","Cochin","DEL-IND-COC","05:19","21:22",1,"new aircraft",6559,21,8,720
"IndiGo","2023-02-18","Lucknow","Goa","LUC-GOA","19:22","11:35",0,"limited seats",3677,18,2,195
"Akasa Air","2024-11-26","Guwahati","Delhi","GUW-BAN-DEL","13:34","01:54",1,"1 long layover",10712,26,11,570
"TruJet","2025-11-04","Bangalore","Ahmedabad","BAN-VAR-AHM","19:37","23:01",1,"red-eye flight",10218,4,11,780
"GoAir","2020-03-08","Cochin","Kolkata","COC-HYD-IND-AHM-KOL","03:17","08:06",3,"limited seats",15636,8,3,270
"IndiGo","2020-11-18","Chennai","Patna","CHE-BAN-PAT","15:33","02:03",1,"extra baggage allowed",4603,18,11,480
"AirAsia India","2021-06-04","Nagpur","Patna","NAG-PAT","08:01","04:05",0,"wifi available",3328,4,6,180
"TruJet","2021-12-24","Bhubaneswar","Bangalore","BHU-PAT-MUM-GOA-BAN","12:54","06:08",3,"none",9934,24,12,330
"TruJet","2023-09-07","Nagpur","Lucknow","NAG-PUN-LUC","09:15","07:58",1,"new aircraft",11646,7,9,735
"Vistara","2024-04-07","Hyderabad","Patna","HYD-KOL-VAR-PAT","01:01","20:46",2,"1 long layover",10084,7,4,180
"Alliance Air","2023-03-16","Kolkata","Varanasi","KOL-HYD-JAI-VAR","01:35","20:37",2,"extra baggage allowed",12550,16,3,135
"SpiceJet","2022-01-05","Delhi","Bhubaneswar","DEL-BAN-HYD-MUM-BHU","18:04","23:56",3,"limited seats",8167,5,1,135
"TruJet","2019-01-22","Surat","Kolkata","SUR-KOL","01:47","07:59",0,"1 long layover",3747,22,1,180
"Alliance Air","2025-12-02","Delhi","Hyderabad","DEL-LUC-MUM-HYD","03:44","04:22",2,"new aircraft",12079,2,12,780
"GoAir","2025-08-05","Delhi","Varanasi","DEL-COC-VAR","18:04","08:17",1,"1 long layover",10404,5,8,135
"GoAir","2022-11-22","Guwahati","Hyderabad","GUW-SUR-HYD","07:13","06:38",1,"extra baggage allowed",11421,22,11,660
"Alliance Air","2022-06-01","Varanasi","Jaipur","VAR-COC-JAI","19:23","14:05",1,"extra baggage allowed",7345,1,6,165
"TruJet","2025-10-09","Pune","Lucknow","PUN-LUC","08:08","21:32",0,"extra baggage allowed",4695,9,10,780
"Vistara","2023-10-04","Indore","Kolkata","IND-AHM-KOL","11:01","16:27",1,"1 long layover",4368,4,10,600
"Akasa Air","2021-06-19","Raipur","Ahmedabad","RAI-KOL-IND-AHM","13:25","12:34",2,"limited seats",14539,19,6,315
"SpiceJet","2021-11-06","Hyderabad","Cochin","HYD-SUR-KOL-COC","05:04","02:13",2,"red-eye flight",13453,6,11,315
"IndiGo","2022-11-08","Pune","Patna","PUN-AHM-PAT","23:52","23:22",1,"business class available",4620,8,11,870
"Akasa Air","2020-08-17","Mumbai","Nagpur","MUM-BAN-PUN-LUC-NAG","19:15","00:10",3,"red-eye flight",12462,17,8,405
"Alliance Air","2022-01-05","Pune","Indore","PUN-IND","08:00","13:27",0,"wifi available",11104,5,1,780
"GoAir","2022-09-26","Bhubaneswar","Nagpur","BHU-AHM-COC-PAT-NAG","14:07","03:59",3,"business class available",13330,26,9,105
